Id,Label,Authority,Hub,modularity_class,pageranks,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree
9836472,,0.000056,0.000028,2,0.000114,5,3,8,5,3,8
9683585,,0,0.000004,2,0.000013,0,1,1,0,1,1
9497246,,0.013607,0.000029,2,0.020085,493,4,497,493,4,497
29755871,,0,0.000234,2,0.000013,0,5,5,0,5,5
29262604,,0,0.000243,51,0.000013,0,9,9,0,9,9
28487467,,0.000002,0.000302,23,0.000033,3,11,14,3,11,14
28453507,,0,0.000672,2,0.000013,0,19,19,0,19,19
28183138,,0.000074,0.000933,51,0.000031,7,5,12,7,5,12
26337050,,0,0.000056,41,0.000013,0,2,2,0,2,2
26014432,,0.000018,0.02249,2,0.000014,1,10,11,1,10,11
23961350,,0.000282,0.000105,2,0.00005,17,8,25,17,8,25
23788959,,0,0.000807,2,0.000013,0,5,5,0,5,5
23531862,,0.000561,0.000018,19,0.000047,5,1,6,5,1,6
23055798,,0.000047,0.000989,2,0.000022,6,7,13,6,7,13
22763381,,0,0.000089,2,0.000013,0,7,7,0,7,7
22682623,,0.000253,0.001015,2,0.000051,14,8,22,14,8,22
22185575,,0.000212,0.000034,2,0.000068,16,2,18,16,2,18
19491894,,0.000673,0.00012,2,0.000041,8,5,13,8,5,13
19455369,,0.000108,0.000855,5,0.00016,15,3,18,15,3,18
19338682,,0.000038,0.000574,2,0.000035,4,4,8,4,4,8
19226467,,0,0.000023,0,0.000029,2,2,4,2,2,4
19090970,,0,0.000125,2,0.000013,0,10,10,0,10,10
19047089,,0,0.000714,2,0.000013,0,5,5,0,5,5
18940471,,0.000552,0.0003,8,0.000033,3,9,12,3,9,12
18923645,,0,0.000018,2,0.000013,0,1,1,0,1,1
18759965,,0,0.000146,2,0.000013,0,6,6,0,6,6
18483326,,0,0.000018,2,0.000013,0,1,1,0,1,1
18274079,,0,0.000848,5,0.000013,0,2,2,0,2,2
18257128,,0.000018,0.000038,2,0.000034,4,2,6,4,2,6
17233897,,0.000183,0.000018,2,0.000058,10,1,11,10,1,11
16602826,,0,0.000023,2,0.000013,0,2,2,0,2,2
15756275,,0.000023,0.000018,0,0.000128,15,3,18,15,3,18
15116316,,0.00003,0.000369,19,0.000051,4,5,9,4,5,9
14580256,,0.000283,0.000252,2,0.000422,16,9,25,16,9,25
12140314,,0,0.000018,2,0.000013,0,2,2,0,2,2
11248061,,0.000865,0.000511,0,0.002033,38,7,45,38,7,45
11207041,,0.000757,0.000054,17,0.000266,16,4,20,16,4,20
10952774,,0,0.000032,2,0.000013,0,4,4,0,4,4
10945492,,0.000118,0.000033,51,0.000716,11,4,15,11,4,15
10739756,,0.004178,0.000345,2,0.003494,42,3,45,42,3,45
10577931,,0,0.000027,2,0.000013,0,2,2,0,2,2
10353781,,0.00064,0.000058,2,0.000223,5,4,9,5,4,9
10205276,,0,0.00004,2,0.000013,0,2,2,0,2,2
10090879,,0,0.000361,2,0.000013,0,5,5,0,5,5
9667663,,0,0.000018,0,0.000049,1,1,2,1,1,2
9585613,,0.000396,0.000042,2,0.001113,34,3,37,34,3,37
30257646,,0,0.000685,35,0.000013,0,14,14,0,14,14
28646826,,0,0.000059,1,0.000013,0,3,3,0,3,3
28205045,,0.000003,0.001774,2,0.000018,1,12,13,1,12,13
27283172,,0,0.001683,5,0.000013,0,9,9,0,9,9
27088617,,0,0.000033,0,0.000013,0,2,2,0,2,2
27082205,,0.000053,0.000318,2,0.000015,3,7,10,3,7,10
26843614,,0,0.001327,2,0.000013,0,8,8,0,8,8
26766567,,0,0.000116,23,0.000013,0,3,3,0,3,3
26327783,,0,0.000465,2,0.000013,0,6,6,0,6,6
25789811,,0.000578,0.000198,2,0.000016,2,8,10,2,8,10
25673085,,0,0.000324,23,0.000013,0,7,7,0,7,7
25253900,,0,0.001142,0,0.000013,0,10,10,0,10,10
24853948,,0,0.000018,2,0.000013,0,1,1,0,1,1
23658460,,0.001436,0.000313,23,0.000293,18,7,25,18,7,25
22966347,,0,0.00004,2,0.000013,0,2,2,0,2,2
22609909,,0,0.000018,2,0.000013,0,1,1,0,1,1
21900106,,0.001968,0.000058,35,0.00024,33,4,37,33,4,37
21603858,,0,0.001278,2,0.000013,0,11,11,0,11,11
21483040,,0,0.000848,5,0.000013,0,2,2,0,2,2
21359843,,0,0.000116,14,0.000013,0,3,3,0,3,3
20380699,,0.00006,0.000055,2,0.000029,4,3,7,4,3,7
20233467,,0.000084,0.000351,0,0.000042,5,7,12,5,7,12
19642207,,0.000064,0.000112,19,0.000128,13,2,15,13,2,15
19615095,,0,0.000018,2,0.000013,0,1,1,0,1,1
19383379,,0.003703,0.000864,14,0.000177,30,5,35,30,5,35
19329713,,0.000193,0.001303,2,0.00003,8,7,15,8,7,15
19241424,,0.001077,0.000028,2,0.000594,83,3,86,83,3,86
18053174,,0,0.000667,2,0.000013,0,7,7,0,7,7
18030340,,0,0.001312,2,0.000013,0,4,4,0,4,4
17972177,,0.0001,0.000162,2,0.000032,5,4,9,5,4,9
17916242,,0,0.001075,35,0.000013,0,5,5,0,5,5
17700570,,0.000229,0.000222,51,0.000618,27,8,35,27,8,35
17018815,,0,0.001313,5,0.000013,0,6,6,0,6,6
16721370,,0,0.000018,2,0.000013,0,1,1,0,1,1
16484695,,0.002724,0.001354,2,0.001113,76,10,86,76,10,86
16361123,,0,0.000025,2,0.000049,4,2,6,4,2,6
15353005,,0.000069,0.000798,2,0.000053,7,4,11,7,4,11
15173236,,0.002169,0.000442,2,0.001062,48,8,56,48,8,56
12698193,,0.00009,0.000943,2,0.000062,9,12,21,9,12,21
11389159,,0.000142,0.000331,2,0.000044,7,4,11,7,4,11
11340759,,0,0.000018,5,0.000035,2,2,4,2,2,4
